"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
158,"NCT04380662","Risk Factors Worsening COVID19 for Out-patient With Home Monitoring","COVIDADOMEVA","Not yet recruiting","No Results Available","Covid19","Other: Risk factors","Identify the factors associated with the worsening of the COVID19|Describe the clinical care pathway of patients from Day 0 to Day 14|Describe the health status at Day 30|Describe the quality of life during the disease","University Hospital, Grenoble","All","Child, Adult, Older Adult",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","38RC20.135|2020-A01040-39","June 30, 2020","September 30, 2020","December 30, 2020","May 8, 2020",,"June 22, 2020","Grenoble University Hospital, Grenoble, France",,"https://ClinicalTrials.gov/show/NCT04380662"
159,"NCT04424771","Post-traumatic Stress Disease in Health Workers During COVID-19 Pandemia",,"Recruiting","No Results Available","COVID|Post Traumatic Stress Disorder","Behavioral: Maslach Burnout Inventory (MBI)","Number of patients with diagnosis of PTSD.","Ospedale Policlinico San Martino","All","18 Years to 70 Years   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PTSD-COVID-19","March 1, 2020","June 30, 2020","July 1, 2020","June 11, 2020",,"June 11, 2020","Ospedale Perrino Asl Brindisi, Brindisi, Italy|IRCCS Ospedale Policlinico San Martino, Genoa, Italy",,"https://ClinicalTrials.gov/show/NCT04424771"
160,"NCT04435522","Maraviroc in SARS-CoV-2",,"Not yet recruiting","No Results Available","COVID","Drug: Maraviroc","Safety and Tolerability|Time to clinical improvement, defined as time from enrollment to an improvement of two points on a seven-category ordinal scale (defined below) or live discharge from the hospital, whichever comes first.|Change in Biomarker Levels|Mortality|Time to Discharge|Days on mechanical ventilation","Rhode Island Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Early Phase 1","16","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1611471-1","September 2020","December 2020","December 2020","June 17, 2020",,"June 17, 2020","Rhode Isand Hospital, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT04435522"
161,"NCT04342884","COVID-19 Community Research Partnership",,"Recruiting","No Results Available","Coronavirus|COVID",,"Seroprevalence of SARS-CoV-2 infection in the general population of North Carolina|Seroprevalence of SARS-CoV-2 infection among health care workers of North Carolina|Cumulative incidence of SARS-CoV-2 infection|Monthly incidence of SARS-CoV-2 infection|Stratified incidence of SARS-CoV-2 infection by age group|Stratified incidence of SARS-CoV-2 infection by sex|Stratified incidence of SARS-CoV-2 by season|Stratified incidence of SARS-CoV-2 infection by geographic area (zip code)|Stratified incidence of SARS-CoV-2 infection by preexisting comorbidities|Stratified incidence of SARS-CoV-2 infection by COVID-2 contacts|Stratified incidence of SARS-CoV-2 infection by use of personal protective equipment (PPE) by health workers|Relative risk of SARS-CoV-2 infection by age group|Relative risk of SARS-CoV-2 infection by sex|Relative risk of SARS-CoV-2 infection by season|Relative risk of SARS-CoV-2 infection by geographic area (zip code)|Relative risk of SARS-CoV-2 infection by preexisting comorbidities|Relative risk of SARS-CoV-2 infection by COVID-2 contacts|Relative risk of SARS-CoV-2 infection by use of PPE by health workers|Incidence of sequelae","Wake Forest University Health Sciences","All","Child, Adult, Older Adult",,"150000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00064912","April 8, 2020","December 2021","December 2021","April 13, 2020",,"June 11, 2020","Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04342884"
162,"NCT04360824","Covid-19 Associated Coagulopathy",,"Recruiting","No Results Available","COVID 19 Associated Coagulopathy","Drug: Intermediate dose thromboprophylaxis|Drug: Standard of Care thromboprophylaxis","Mortality|Major Bleeding|Arterial Thrombosis|Venous Thromboembolism|ICU admission, intubation/ventilation|Packed Red Blood Cell Transfusions|Platelet Transfusions|Fresh Frozen Plasma Transfusions|Cryoprecipitate Transfusions|Prothrombin Complex Concentrate Transfusions","University of Iowa","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 4","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","202004235","May 6, 2020","April 16, 2021","April 16, 2021","April 24, 2020",,"June 19, 2020","University of Iowa, Iowa City, Iowa, United States|Gundersen Health System, La Crosse, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04360824"
163,"NCT04344756","Trial Evaluating Efficacy and Safety of Anticoagulation in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort","CORIMMUNO-COAG","Not yet recruiting","No Results Available","COVID19 Pneumonia","Drug: Tinzaparin or unfractionated heparin","Survival without ventilation (VNI or mechanical ventilation)|ventilator free survival|World Health Organisation(WHO) progression scale ≤5|World Health Organisation(WHO) progression scale|overall survival|Length of hospital stay|Length of ICU stay|time to oxygenation supply independency|time to ventilator (non invasive or invasive)|rate of acute kidney injury|time to Renal Replacement Therapy (RRT) initiation|rate of clinically overt pulmonary embolism or proximal deep vein thrombosis|Rate of clinically overt arterial thrombosis|Rate of unscheduled central venous catheter replacement for catheter dysfunction|Rate of central venous catheter-related deep vein thrombosis (CVC-DVT)|Rate of unscheduled indwelling arterial catheter replacement for catheter dysfunction|Rate of acute clotting leading to the replacement the renal replacement therapy circuit stratified by regional citrate anticoagulation or not|Time to acute clot formation within the oxygenator (acute oxygenator thrombosis, AOT) leading to the exchange of an extracorporeal membrane oxygenation (ECMO) system|Time to acute clot formation within the pump head (pump head thrombosis, PHT) leading to the exchange of an extracorporeal membrane oxygenation (ECMO) system|Incidence of adverse events","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 2","808","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200389-6","April 20, 2020","July 31, 2020","September 30, 2020","April 14, 2020",,"April 15, 2020","Réanimation hôpital Louis Mourier, Colombes, Hauts De Seine, France|réanimation hôpital Cochin, Paris, France|Médecine vasculaire, Hôpital Européen Georges Pompidou, Paris, France",,"https://ClinicalTrials.gov/show/NCT04344756"
164,"NCT04401293","Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients",,"Recruiting","No Results Available","Sars-CoV2|COVID","Drug: Enoxaparin|Drug: Prophylactic/Intermediate Dose Enoxaparin","Composite outcome of arterial thromboembolic events, venous thromboembolic events and all-cause mortality at Day 30 ± 2 days.|Major bleeding|Composite outcome of arterial thromboembolic events, venous thromboembolic events and all-cause mortality at Hospital Day 10 + 4|Sepsis-induced coagulopathy (SIC) score|Progression to Acute Respiratory Distress Syndrome (ARDS)|Need for Intubation|Re-hospitalization","Northwell Health","All","18 Years and older   (Adult, Older Adult)","Phase 3","308","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","20-0340","April 26, 2020","October 22, 2020","April 26, 2021","May 26, 2020",,"June 9, 2020","Beth Israel Newark, Newark, New Jersey, United States|Southside Hospital, Bay Shore, New York, United States|Huntington Hospital, Huntington, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States|Staten Island University Hospital, Staten Island, New York, United States",,"https://ClinicalTrials.gov/show/NCT04401293"
165,"NCT04344782","Trial Evaluating Efficacy and Safety of Bevacizumab (Avastin®/Zeribev®) in Patients With COVID-19 Infection, Nested in the Corimmuno-19 Cohort","CORIMMUNO-BEVA","Not yet recruiting","No Results Available","COVID19 Pneumonia","Drug: Bevacizumab Injection","Proportion of surviving patients without need for intubation for respiratory support|Saturation of Oxygen in the blood (SaO2)|Arterial oxygen partial pressure (paO2)|Ratio of arterial oxygen partial pressure to fractional inspired oxygen (paO2/FiO2)|CT-scan score|dyspnea|overall survival|admissionn to the intensive care unit (ICU)|incidence of mechanical ventilation|hospital length of stay|incidence of adverse event|VEGF plasma concentration","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 2","130","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APHP200389-7","April 15, 2020","September 30, 2020","November 30, 2020","April 14, 2020",,"April 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04344782"
166,"NCT04361942","Treatment of Severe COVID-19 Pneumonia With Allogeneic Mesenchymal Stromal Cells (COVID_MSV)","COVID_MSV","Recruiting","No Results Available","COVID-19 Pneumonia","Biological: Mesenchymal Stromal Cells|Other: Placebo","Proportion of patients who have achieved withdrawal of invasive mechanical ventilation|Rate of mortality|Proportion of patients who have achieved clinical response|Proportion of patients who have achieved radiological responses","Red de Terapia Celular|Citospin|University of Valladolid|Castilla-León Health Service|Hospital del Río Hortega|Instituto de Salud Carlos III","All","18 Years and older   (Adult, Older Adult)","Phase 2","24","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","TerCel_007|2020-001682-36","April 2020","November 30, 2020","December 31, 2020","April 24, 2020",,"April 29, 2020","Hospital Universitario Rio Hortega, Valladolid, Spain",,"https://ClinicalTrials.gov/show/NCT04361942"
167,"NCT04362150","Long-term Impact of Infection With Novel Coronavirus (COVID-19)","LIINC","Recruiting","No Results Available","COVID",,"Participant age|Participant sex|Participant race/ethnicity|Proportion of participants previously hospitalized.","University of California, San Francisco","All","18 Years to 100 Years   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-30479","April 21, 2020","December 31, 2022","December 21, 2024","April 24, 2020",,"May 29, 2020","Zuckerberg San Francisco General Hospital (ZSFG), San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04362150"
168,"NCT04339608","Max COVID19- Study",,"Recruiting","No Results Available","COVID-19",,"COVID-19 positive case","Max Healthcare Insititute Limited","All","18 Years and older   (Adult, Older Adult)",,"10000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Covid-19/MHC/2020","April 2, 2020","May 30, 2020","June 30, 2020","April 9, 2020",,"April 9, 2020","Max Super Speciality Hospital, A Unit of Devki Devi Foundation, New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04339608"
169,"NCT04372602","Duvelisib to Combat COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Drug: Duvelisib|Procedure: Peripheral blood draw","Overall survival|Length of hospital stay|Length of ICU stay|Duration of ventilator use|Duration of vasopressors use|Duration on renal replacement therapy|Viral kinetics as measured by virologic failure|Number of adverse events as measured by CTCAE v. 5.0","Washington University School of Medicine|Verastem, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","25","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","04-28-20-DiPersio","June 30, 2020","July 31, 2021","December 31, 2021","May 4, 2020",,"May 4, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04372602"
170,"NCT04366960","Comparison of Two Doses of Enoxaparin for Thromboprophylaxis in Hospitalized COVID-19 Patients","X-Covid 19","Recruiting","No Results Available","Covid19","Drug: Enoxaparin","Incidence of venous thromboembolism detected by imaging|In hospital major complications|Number of deep venous thrombosis events|Sequential organ failure assessment|C-reactive protein|Interleukin‐6|D-dimer|hs-troponin levels|Acute Respiratory Distress Syndrome|Hospital stay|Right ventricular function|Number of pulmonary embolism events","Niguarda Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 3","2712","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-001708-41","May 14, 2020","August 2020","November 2020","April 29, 2020",,"May 15, 2020","Azienda Socio Sanitaria Territoriale Grande Ospedale Metropolitano Niguarda, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04366960"
